region;year;peat_type;peat_deg
north;2002;2;-2.97746154150144
north;2003;2;-3.00972917990681
north;2004;2;-3.01349721515553
north;2005;2;-3.05054993273835
north;2006;2;-3.11988365247911
north;2007;2;-3.16938112581281
north;2008;2;-3.18214091797597
north;2009;2;-3.19757196313783
north;2010;2;-3.22482006004907
north;2011;2;-3.23991311229098
north;2012;2;-3.27343181615519
north;2013;2;-3.31635381999648
north;2014;2;-3.33512958725655
north;2015;2;-3.35545080520128
north;2016;2;-3.39719282152186
north;2017;2;-3.40120834930958
north;2018;2;-3.42961166822468
north;2019;2;-3.4237131936407
north;2020;2;-3.4641846641367
north;2021;2;-3.50600250742939
north;2022;2;-3.55170620004395
north;2023;2;-3.54953540004395
north;2024;2;-3.54736460004395
north;2025;2;-3.54519380004395
north;2026;2;-3.54302300004395
north;2027;2;-3.53916380004395
north;2028;2;-3.53530460004395
north;2029;2;-3.53144540004395
north;2030;2;-3.52758620004395
north;2031;2;-3.52372700004395
north;2032;2;-3.52131500004395
north;2033;2;-3.51890300004395
north;2034;2;-3.51649100004395
north;2035;2;-3.51407900004395
north;2036;2;-3.51166700004395
north;2037;2;-3.50925500004395
north;2038;2;-3.50684300004395
north;2039;2;-3.50443100004395
north;2040;2;-3.50201900004395
north;2041;2;-3.49960700004395
north;2042;2;-3.49860200004395
north;2043;2;-3.49759700004395
north;2044;2;-3.49659200004395
north;2045;2;-3.49558700004395
north;2046;2;-3.49458200004395
north;2047;2;-3.49357700004395
north;2048;2;-3.49257200004395
north;2049;2;-3.49156700004395
north;2050;2;-3.49056200004395
north;1990;4;-1.8885932967029
north;1991;4;-1.86377706259318
north;1992;4;-1.87966714847529
north;1993;4;-1.83441226125038
north;1994;4;-1.83857992655466
north;1995;4;-1.86974267373863
north;1996;4;-1.88418408427436
north;1997;4;-1.88895762397463
north;1998;4;-1.93807292215165
north;1999;4;-1.96438237565262
north;2000;4;-1.98728560192173
north;2001;4;-2.03489677866343
north;2002;4;-2.03972735746556
north;2003;4;-2.07781669574122
north;2004;4;-2.08497550429891
north;2005;4;-2.12801258695783
north;2006;4;-2.19983735160632
north;2007;4;-2.25238834799559
north;2008;4;-2.26451061319958
north;2009;4;-2.27998463407193
north;2010;4;-2.30613140187708
north;2011;4;-2.34824398256667
north;2012;4;-2.38046889838886
north;2013;4;-2.42273926552208
north;2014;4;-2.44059573582614
north;2015;4;-2.45959593282245
north;2016;4;-2.5016200150573
north;2017;4;-2.50618553924418
north;2018;4;-2.53605711472234
north;2019;4;-2.53103650211946
north;2020;4;-2.57415873487832
north;2021;4;-2.61779631224955
north;2022;4;-2.67196776017505
north;2023;4;-2.67558576017506
north;2024;4;-2.67920376017506
north;2025;4;-2.68282176017506
north;2026;4;-2.68643976017506
north;2027;4;-2.68780656017506
north;2028;4;-2.68917336017505
