region;peat_type;year;EF_drained_peatland
north;6;2002;0.454523085939702
north;7;2002;-0.397766217191578
north;1;2003;-0.327960951167032
north;2;2003;-0.658211645456952
north;4;2003;0.508447790509768
north;6;2003;0.438270510291608
north;7;2003;-0.406694966562082
north;1;2004;-0.293038931355672
north;2;2004;-0.618985541610372
north;4;2004;0.551144193664178
north;6;2004;0.479341416425428
north;7;2004;-0.363789457551722
north;1;2005;-0.327761527542888
north;2;2005;-0.648271019853308
north;4;2005;0.522735422961932
north;6;2005;0.449628011433042
north;7;2005;-0.385493208578178
north;1;2006;-0.416430273942856
north;2;2006;-0.736376068310526
north;4;2006;0.439000402213774
north;6;2006;0.364846229803744
north;7;2006;-0.473642529435266
north;1;2007;-0.440009342592536
north;2;2007;-0.754561109587836
north;4;2007;0.418171199803424
north;6;2007;0.335392174412874
north;7;2007;-0.486137514670876
north;1;2008;-0.401629438899456
north;2;2008;-0.745432213568306
north;4;2008;0.443430941287744
north;6;2008;0.352277346367604
north;7;2008;-0.459037098582946
north;1;2009;-0.46745857465811
north;2;2009;-0.8389819541454
north;4;2009;0.36533154350577
north;6;2009;0.265183484614
north;7;2009;-0.53335456449459
north;1;2010;-0.414925904165773
north;2;2010;-0.816418680586693
north;4;2010;0.404489464676177
north;6;2010;0.295896575317347
north;7;2010;-0.494456820841083
north;1;2011;-0.813840359710848
north;2;2011;-1.04908661805498
north;4;2011;0.251260262048282
north;6;2011;0.224375059957102
north;7;2011;-0.580533440982968
north;1;2012;-0.838537013875519
north;2;2012;-1.07691717394801
north;4;2012;0.226820633267111
north;6;2012;0.193065454764791
north;7;2012;-0.613771650860319
north;1;2013;-0.847270327851284
north;2;2013;-1.08649241039698
north;4;2013;0.219994172596046
north;6;2013;0.179071490893956
north;7;2013;-0.627126889037164
north;1;2014;-0.860035671845914
north;2;2014;-1.09888002157658
north;4;2014;0.210622997442296
north;6;2014;0.162450250824816
north;7;2014;-0.642531808275184
north;1;2015;-0.874236497376738
north;2;2015;-1.11515087447752
north;4;2015;0.197770304559622
north;6;2015;0.143012176209232
north;7;2015;-0.662308649671998
north;1;2016;-0.91383358523985
north;2;2016;-1.15592396365779
north;4;2016;0.158812288534921
north;6;2016;0.0972066709129003
north;7;2016;-0.70317228670417
north;1;2017;-0.887248037604302
north;2;2017;-1.13961337208786
north;4;2017;0.178927135609918
north;6;2017;0.110777787386038
north;7;2017;-0.693179799666112
north;1;2018;-0.855745332053702
north;2;2018;-1.11876265742582
north;4;2018;0.202663845613129
north;6;2018;0.128180187508969
north;7;2018;-0.678329779591271
north;1;2019;-0.835499572809673
north;2;2019;-1.10846865830919
north;4;2019;0.216434234652887
north;6;2019;0.135367820105897
north;7;2019;-0.675091148417843
north;1;2020;-0.876235912100578
north;2;2020;-1.16133041428492
north;4;2020;0.165275968318532
north;6;2020;0.0784680197298022
north;7;2020;-0.730683956135298
north;1;2021;-0.872991358727687
north;2;2021;-1.16991487314609
north;4;2021;0.159226027283053
north;6;2021;0.0661591353689834
north;7;2021;-0.744109683366487
north;1;2022;-0.94506155484595
north;2;2022;-1.23511455878999
north;4;2022;0.09303050546617
north;6;2022;-0.00245361461451976
north;7;2022;-0.80719008117246
north;1;2023;-0.953850470660536
north;2;2023;-1.23881875413298
north;4;2023;0.0910094292611339
north;6;2023;-0.00705057138238629
north;7;2023;-0.813410675501246
north;1;2024;-0.961970246549753
north;2;2024;-1.24185380955059
north;4;2024;0.0896574929814764
north;6;2024;-0.0109783882248826
north;7;2024;-0.818962129904663
north;1;2025;-0.968889777655027
north;2;2025;-1.24368862018427
north;4;2025;0.0895058014857626
north;6;2025;-0.0137059602834375
north;7;2025;-0.823313339524138
north;1;2026;-0.975949731276239
north;2;2026;-1.24566385333388
north;4;2026;0.0892136874741114
north;6;2026;-0.0165739548579293
north;7;2026;-0.827804971659549
north;1;2027;-0.983887742423726
north;2;2027;-1.25048359025773
north;4;2027;0.088856308029464
north;6;2027;-0.0185231149045855
north;7;2027;-0.831038398876456
north;1;2028;-0.990850767991762
north;2;2028;-1.25432834160212
north;4;2028;0.0894739141642789
north;6;2028;-0.0194972893717913
north;7;2028;-0.833296840513911
north;1;2029;-0.998083985909966
north;2;2029;-1.25844328529669
north;4;2029;0.0898213279489037
north;6;2029;-0.0207416561891662
