maakunta;tkg;species;component;year;bm;ala
1;2;1;6;2016;1.65242912067665;84.6444378812969
1;2;1;6;2017;1.65242912067665;NA
1;2;1;6;2018;1.65242912067665;NA
1;2;1;6;2019;1.65242912067665;NA
1;2;1;6;2020;1.65242912067665;NA
1;2;1;6;2021;1.65242912067665;NA
1;2;1;7;2015;5.1029558537858;NA
1;2;1;7;2016;5.1029558537858;84.6444378812969
1;2;1;7;2017;5.1029558537858;NA
1;2;1;7;2018;5.1029558537858;NA
1;2;1;7;2019;5.1029558537858;NA
1;2;1;7;2020;5.1029558537858;NA
1;2;1;7;2021;5.1029558537858;NA
1;2;2;1;2015;26.6736034837031;NA
1;2;2;1;2016;26.6736034837031;84.6444378812969
1;2;2;1;2017;26.6736034837031;NA
1;2;2;1;2018;26.6736034837031;NA
1;2;2;1;2019;26.6736034837031;NA
1;2;2;1;2020;26.6736034837031;NA
1;2;2;1;2021;26.6736034837031;NA
1;2;2;2;2015;3.25321091605103;NA
1;2;2;2;2016;3.25321091605103;84.6444378812969
1;2;2;2;2017;3.25321091605103;NA
1;2;2;2;2018;3.25321091605103;NA
1;2;2;2;2019;3.25321091605103;NA
1;2;2;2;2020;3.25321091605103;NA
1;2;2;2;2021;3.25321091605103;NA
1;2;2;3;2015;8.2352986535559;NA
1;2;2;3;2016;8.2352986535559;84.6444378812969
1;2;2;3;2017;8.2352986535559;NA
1;2;2;3;2018;8.2352986535559;NA
1;2;2;3;2019;8.2352986535559;NA
1;2;2;3;2020;8.2352986535559;NA
1;2;2;3;2021;8.2352986535559;NA
1;2;2;4;2015;5.07283076326731;NA
1;2;2;4;2016;5.07283076326731;84.6444378812969
1;2;2;4;2017;5.07283076326731;NA
1;2;2;4;2018;5.07283076326731;NA
1;2;2;4;2019;5.07283076326731;NA
1;2;2;4;2020;5.07283076326731;NA
1;2;2;4;2021;5.07283076326731;NA
1;2;2;5;2015;1.11535272965749;NA
1;2;2;5;2016;1.11535272965749;84.6444378812969
1;2;2;5;2017;1.11535272965749;NA
1;2;2;5;2018;1.11535272965749;NA
1;2;2;5;2019;1.11535272965749;NA
1;2;2;5;2020;1.11535272965749;NA
1;2;2;5;2021;1.11535272965749;NA
1;2;2;6;2015;2.77481060941775;NA
1;2;2;6;2016;2.77481060941775;84.6444378812969
1;2;2;6;2017;2.77481060941775;NA
1;2;2;6;2018;2.77481060941775;NA
1;2;2;6;2019;2.77481060941775;NA
1;2;2;6;2020;2.77481060941775;NA
1;2;2;6;2021;2.77481060941775;NA
1;2;2;7;2015;10.3425179917059;NA
1;2;2;7;2016;10.3425179917059;84.6444378812969
1;2;2;7;2017;10.3425179917059;NA
1;2;2;7;2018;10.3425179917059;NA
1;2;2;7;2019;10.3425179917059;NA
1;2;2;7;2020;10.3425179917059;NA
1;2;2;7;2021;10.3425179917059;NA
1;2;3;1;2015;21.8273680342699;NA
1;2;3;1;2016;21.8273680342699;84.6444378812969
1;2;3;1;2017;21.8273680342699;NA
1;2;3;1;2018;21.8273680342699;NA
1;2;3;1;2019;21.8273680342699;NA
1;2;3;1;2020;21.8273680342699;NA
1;2;3;1;2021;21.8273680342699;NA
1;2;3;2;2015;3.75150036286972;NA
1;2;3;2;2016;3.75150036286972;84.6444378812969
1;2;3;2;2017;3.75150036286972;NA
1;2;3;2;2018;3.75150036286972;NA
1;2;3;2;2019;3.75150036286972;NA
1;2;3;2;2020;3.75150036286972;NA
1;2;3;2;2021;3.75150036286972;NA
1;2;3;3;2015;3.62631857453928;NA
1;2;3;3;2016;3.62631857453928;84.6444378812969
1;2;3;3;2017;3.62631857453928;NA
1;2;3;3;2018;3.62631857453928;NA
1;2;3;3;2019;3.62631857453928;NA
1;2;3;3;2020;3.62631857453928;NA
1;2;3;3;2021;3.62631857453928;NA
1;2;3;4;2015;1.24460752079207;NA
1;2;3;4;2016;1.24460752079207;84.6444378812969
1;2;3;4;2017;1.24460752079207;NA
1;2;3;4;2018;1.24460752079207;NA
1;2;3;4;2019;1.24460752079207;NA
1;2;3;4;2020;1.24460752079207;NA
1;2;3;4;2021;1.24460752079207;NA
1;2;3;5;2015;0.199065557428427;NA
1;2;3;5;2016;0.199065557428427;84.6444378812969
1;2;3;5;2017;0.199065557428427;NA
1;2;3;5;2018;0.199065557428427;NA
1;2;3;5;2019;0.199065557428427;NA
1;2;3;5;2020;0.199065557428427;NA
1;2;3;5;2021;0.199065557428427;NA
1;2;3;6;2015;2.10556383601;NA
1;2;3;6;2016;2.10556383601;84.6444378812969
1;2;3;6;2017;2.10556383601;NA
1;2;3;6;2018;2.10556383601;NA
1;2;3;6;2019;2.10556383601;NA
