maakunta;peat_type;year;roll_T
10;1;1999;11.1104653711252
10;1;2000;11.1255769852653
10;1;2001;11.1815871930428
10;1;2002;11.1644634352123
10;1;2003;11.1849018828719
10;1;2004;11.196711493096
10;1;2005;11.2201365612732
10;1;2006;11.3404446907932
10;1;2007;11.4031750906762
10;1;2008;11.4264779198031
10;1;2009;11.4339883051266
10;1;2010;11.4919844204151
10;1;2011;11.5475483966789
10;1;2012;11.5921026193077
10;1;2013;11.6309759461333
10;1;2014;11.6438797473966
10;1;2015;11.6590739053121
10;1;2016;11.6989068482995
10;1;2017;11.7175673595936
10;1;2018;11.7624895182313
10;1;2019;11.7458379933536
10;1;2020;11.8105659561592
10;1;2021;11.8747626329492
10;2;1990;11.0577443279808
10;2;1991;11.0268621209437
10;2;1992;11.0547458328418
10;2;1993;10.9681349630098
10;2;1994;10.9679658530698
10;2;1995;11.0165074802702
10;2;1996;11.0150039982734
10;2;1997;11.0006383657384
10;2;1998;11.0334796837551
10;2;1999;11.0746807213009
10;2;2000;11.0895993888309
10;2;2001;11.1460135845242
10;2;2002;11.129634206504
10;2;2003;11.1513276237856
10;2;2004;11.1637039065917
10;2;2005;11.1885125374009
10;2;2006;11.3100027934582
10;2;2007;11.3737823593644
10;2;2008;11.3978361483973
10;2;2009;11.406460141498
10;2;2010;11.4647502205718
10;2;2011;11.5215556314248
10;2;2012;11.5673249397852
10;2;2013;11.6076818215187
10;2;2014;11.6218325640112
10;2;2015;11.6375459413558
10;2;2016;11.6785072760328
10;2;2017;11.6980388993281
10;2;2018;11.7442168987753
10;2;2019;11.7294404899779
10;2;2020;11.7955795278126
10;2;2021;11.8611469201287
10;4;1990;11.0489408802352
10;4;1991;11.0179301643274
10;4;1992;11.0456372450309
10;4;1993;10.9583367016018
10;4;1994;10.9573253726859
10;4;1995;11.005657606013
10;4;1996;11.0045399259613
10;4;1997;10.9907935401741
10;4;1998;11.0246796238808
10;4;1999;11.0672643770716
10;4;2000;11.0832860602424
10;4;2001;11.1409719650344
10;4;2002;11.1250805157747
10;4;2003;11.1470834695958
10;4;2004;11.1599303818103
10;4;2005;11.1846516762561
10;4;2006;11.3065283220592
10;4;2007;11.3714341874612
10;4;2008;11.3965405581932
10;4;2009;11.4061680274846
10;4;2010;11.4659107624712
10;4;2011;11.5235576339468
10;4;2012;11.5707015691271
10;4;2013;11.6118119462475
10;4;2014;11.6268982732794
10;4;2015;11.6437756326256
10;4;2016;11.6861344448718
10;4;2017;11.7064842252735
10;4;2018;11.7539967039268
10;4;2019;11.7400141733169
10;4;2020;11.8072707826892
10;4;2021;11.8733378113262
10;6;1990;11.0366515831523
10;6;1991;11.0057303921145
10;6;1992;11.033784613906
10;6;1993;10.947010565185
10;6;1994;10.9459989093597
10;6;1995;10.9944112467865
10;6;1996;10.9931313666009
10;6;1997;10.9793661823346
10;6;1998;11.012918749062
10;6;1999;11.0546897472215
10;6;2000;11.0700501807949
10;6;2001;11.1270210556271
10;6;2002;11.1103727509147
10;6;2003;11.1315982238581
10;6;2004;11.1440234545344
10;6;2005;11.1678682164068
10;6;2006;11.2880582149978
10;6;2007;11.352078494947
10;6;2008;11.3764972480692
10;6;2009;11.3852882547296
10;6;2010;11.4448000070202
10;6;2011;11.50193406806
10;6;2012;11.5478814003405
10;6;2013;11.5877226902713
10;6;2014;11.601926488806
10;6;2015;11.6178293799988
10;6;2016;11.6593749979403
10;6;2017;11.6792889689946
10;6;2018;11.7258639644415
10;6;2019;11.7109662777343
10;6;2020;11.7772894069083
10;6;2021;11.8430925785963
10;7;1990;10.7955555555556
10;7;1991;10.75
10;7;1992;10.7616666666667
10;7;1993;10.6677777777778
10;7;1994;10.66
10;7;1995;10.6972222222222
10;7;1996;10.6888888888889
10;7;1997;10.6694444444444
10;7;1998;10.6911111111111
10;7;1999;10.7172222222222
10;7;2000;10.7266666666667
10;7;2001;10.7761111111111
10;7;2002;10.7572222222222
10;7;2003;10.7816666666667
10;7;2004;10.7911111111111
10;7;2005;10.8155555555556
10;7;2006;10.935
10;7;2007;10.9955555555556
10;7;2008;11.0127777777778
10;7;2009;11.02
10;7;2010;11.0711111111111
10;7;2011;11.13
10;7;2012;11.1705555555556
10;7;2013;11.2044444444444
10;7;2014;11.2172222222222
