maakunta;year;peat_type;total_living_litter
7;2019;1;3.5411634059392
7;2019;2;2.85198803442001
7;2019;4;3.79954337486047
7;2019;6;2.38206650707614
7;2019;7;1.2608332
7;2020;1;3.5411634059392
7;2020;2;2.85198803442001
7;2020;4;3.79954337486047
7;2020;6;2.38206650707614
7;2020;7;1.2608332
7;2021;1;3.5411634059392
7;2021;2;2.85198803442001
7;2021;4;3.79954337486047
7;2021;6;2.38206650707614
7;2021;7;1.2608332
8;2015;1;3.73606888925205
8;2015;2;2.95987376970813
8;2015;4;3.72197846059879
8;2015;6;2.27863803815438
8;2015;7;1.2608332
8;2016;1;3.73606888925205
8;2016;2;2.95987376970813
8;2016;4;3.72197846059879
8;2016;6;2.27863803815438
8;2016;7;1.2608332
8;2017;1;3.73606888925205
8;2017;2;2.95987376970813
8;2017;4;3.72197846059879
8;2017;6;2.27863803815438
8;2017;7;1.2608332
8;2018;1;3.73606888925205
8;2018;2;2.95987376970813
8;2018;4;3.72197846059879
8;2018;6;2.27863803815438
8;2018;7;1.2608332
8;2019;1;3.73606888925205
8;2019;2;2.95987376970813
8;2019;4;3.72197846059879
8;2019;6;2.27863803815438
8;2019;7;1.2608332
8;2020;1;3.73606888925205
8;2020;2;2.95987376970813
8;2020;4;3.72197846059879
8;2020;6;2.27863803815438
8;2020;7;1.2608332
8;2021;1;3.73606888925205
8;2021;2;2.95987376970813
8;2021;4;3.72197846059879
8;2021;6;2.27863803815438
8;2021;7;1.2608332
9;2015;1;3.41301868724191
9;2015;2;2.82965202292981
9;2015;4;3.50179715130298
9;2015;6;2.26125009015807
9;2015;7;1.2608332
9;2016;1;3.41301868724191
9;2016;2;2.82965202292981
9;2016;4;3.50179715130298
9;2016;6;2.26125009015807
9;2016;7;1.2608332
9;2017;1;3.41301868724191
9;2017;2;2.82965202292981
9;2017;4;3.50179715130298
9;2017;6;2.26125009015807
9;2017;7;1.2608332
9;2018;1;3.41301868724191
9;2018;2;2.82965202292981
9;2018;4;3.50179715130298
9;2018;6;2.26125009015807
9;2018;7;1.2608332
9;2019;1;3.41301868724191
9;2019;2;2.82965202292981
9;2019;4;3.50179715130298
9;2019;6;2.26125009015807
9;2019;7;1.2608332
9;2020;1;3.41301868724191
9;2020;2;2.82965202292981
9;2020;4;3.50179715130298
9;2020;6;2.26125009015807
9;2020;7;1.2608332
9;2021;1;3.41301868724191
9;2021;2;2.82965202292981
9;2021;4;3.50179715130298
9;2021;6;2.26125009015807
9;2021;7;1.2608332
10;2015;1;3.26633123619477
10;2015;2;2.81937455240246
10;2015;4;3.38377767547115
10;2015;6;2.32312519124002
10;2015;7;1.2608332
10;2016;1;3.26633123619477
10;2016;2;2.81937455240246
10;2016;4;3.38377767547115
10;2016;6;2.32312519124002
10;2016;7;1.2608332
10;2017;1;3.26633123619477
10;2017;2;2.81937455240246
10;2017;4;3.38377767547115
10;2017;6;2.32312519124002
10;2017;7;1.2608332
10;2018;1;3.26633123619477
10;2018;2;2.81937455240246
10;2018;4;3.38377767547115
10;2018;6;2.32312519124002
10;2018;7;1.2608332
10;2019;1;3.26633123619477
10;2019;2;2.81937455240246
10;2019;4;3.38377767547115
10;2019;6;2.32312519124002
10;2019;7;1.2608332
10;2020;1;3.26633123619477
10;2020;2;2.81937455240246
10;2020;4;3.38377767547115
10;2020;6;2.32312519124002
10;2020;7;1.2608332
10;2021;1;3.26633123619477
10;2021;2;2.81937455240246
10;2021;4;3.38377767547115
10;2021;6;2.32312519124002
10;2021;7;1.2608332
11;2015;1;3.31009112256369
11;2015;2;2.65697120940894
11;2015;4;3.37263235273504
