maakunta;peat_type;tree_type;year;basal_area
5;1;pine;2016;1.7035651939
5;1;pine;2017;1.7035651939
5;1;pine;2018;1.7035651939
5;1;pine;2019;1.7035651939
5;1;pine;2020;1.7035651939
5;1;pine;2021;1.7035651939
5;1;spruce;2015;12.611458201
5;1;spruce;2016;12.611458201
5;1;spruce;2017;12.611458201
5;1;spruce;2018;12.611458201
5;1;spruce;2019;12.611458201
5;1;spruce;2020;12.611458201
5;1;spruce;2021;12.611458201
5;1;deciduous;2015;7.7036006883
5;1;deciduous;2016;7.7036006883
5;1;deciduous;2017;7.7036006883
5;1;deciduous;2018;7.7036006883
5;1;deciduous;2019;7.7036006883
5;1;deciduous;2020;7.7036006883
5;1;deciduous;2021;7.7036006883
5;2;pine;2015;4.41812450210339
5;2;pine;2016;4.41812450210339
5;2;pine;2017;4.41812450210339
5;2;pine;2018;4.41812450210339
5;2;pine;2019;4.41812450210339
5;2;pine;2020;4.41812450210339
5;2;pine;2021;4.41812450210339
5;2;spruce;2015;11.8242948124426
5;2;spruce;2016;11.8242948124426
5;2;spruce;2017;11.8242948124426
5;2;spruce;2018;11.8242948124426
5;2;spruce;2019;11.8242948124426
5;2;spruce;2020;11.8242948124426
5;2;spruce;2021;11.8242948124426
5;2;deciduous;2015;6.06276416591058
5;2;deciduous;2016;6.06276416591058
5;2;deciduous;2017;6.06276416591058
5;2;deciduous;2018;6.06276416591058
5;2;deciduous;2019;6.06276416591058
5;2;deciduous;2020;6.06276416591058
5;2;deciduous;2021;6.06276416591058
5;4;pine;2015;11.9963531352723
5;4;pine;2016;11.9963531352723
5;4;pine;2017;11.9963531352723
5;4;pine;2018;11.9963531352723
5;4;pine;2019;11.9963531352723
5;4;pine;2020;11.9963531352723
5;4;pine;2021;11.9963531352723
5;4;spruce;2015;2.62160068409533
5;4;spruce;2016;2.62160068409533
5;4;spruce;2017;2.62160068409533
5;4;spruce;2018;2.62160068409533
5;4;spruce;2019;2.62160068409533
5;4;spruce;2020;2.62160068409533
5;4;spruce;2021;2.62160068409533
5;4;deciduous;2015;5.6902710949788
5;4;deciduous;2016;5.6902710949788
5;4;deciduous;2017;5.6902710949788
5;4;deciduous;2018;5.6902710949788
5;4;deciduous;2019;5.6902710949788
5;4;deciduous;2020;5.6902710949788
