maakunta;peat_type;year;basal_area
5;1;2015;22.0186240832
5;1;2016;22.0186240832
5;1;2017;22.0186240832
5;1;2018;22.0186240832
5;1;2019;22.0186240832
5;1;2020;22.0186240832
5;1;2021;22.0186240832
5;2;2015;22.3051834804566
5;2;2016;22.3051834804566
5;2;2017;22.3051834804566
5;2;2018;22.3051834804566
5;2;2019;22.3051834804566
5;2;2020;22.3051834804566
5;2;2021;22.3051834804566
5;4;2015;20.3082249143464
5;4;2016;20.3082249143464
5;4;2017;20.3082249143464
5;4;2018;20.3082249143464
5;4;2019;20.3082249143464
5;4;2020;20.3082249143464
5;4;2021;20.3082249143464
5;6;2015;16.363975823
5;6;2016;16.363975823
5;6;2017;16.363975823
5;6;2018;16.363975823
5;6;2019;16.363975823
5;6;2020;16.363975823
5;6;2021;16.363975823
5;7;2015;0
5;7;2016;0
5;7;2017;0
5;7;2018;0
5;7;2019;0
5;7;2020;0
5;7;2021;0
6;1;2015;19.6884812118
6;1;2016;19.6884812118
6;1;2017;19.6884812118
6;1;2018;19.6884812118
6;1;2019;19.6884812118
6;1;2020;19.6884812118
6;1;2021;19.6884812118
6;2;2015;21.2149729110723
6;2;2016;21.2149729110723
6;2;2017;21.2149729110723
6;2;2018;21.2149729110723
6;2;2019;21.2149729110723
6;2;2020;21.2149729110723
6;2;2021;21.2149729110723
6;4;2015;17.3075854890021
6;4;2016;17.3075854890021
6;4;2017;17.3075854890021
6;4;2018;17.3075854890021
6;4;2019;17.3075854890021
6;4;2020;17.3075854890021
6;4;2021;17.3075854890021
6;6;2015;13.7324682413
6;6;2016;13.7324682413
6;6;2017;13.7324682413
6;6;2018;13.7324682413
6;6;2019;13.7324682413
6;6;2020;13.7324682413
6;6;2021;13.7324682413
6;7;2015;6.1892203158
6;7;2016;6.1892203158
6;7;2017;6.1892203158
6;7;2018;6.1892203158
6;7;2019;6.1892203158
6;7;2020;6.1892203158
6;7;2021;6.1892203158
7;1;2015;19.9450305924
7;1;2016;19.9450305924
7;1;2017;19.9450305924
7;1;2018;19.9450305924
7;1;2019;19.9450305924
7;1;2020;19.9450305924
7;1;2021;19.9450305924
7;2;2015;21.0836297593515
7;2;2016;21.0836297593515
7;2;2017;21.0836297593515
7;2;2018;21.0836297593515
7;2;2019;21.0836297593515
7;2;2020;21.0836297593515
7;2;2021;21.0836297593515
7;4;2015;20.9157533905981
7;4;2016;20.9157533905981
7;4;2017;20.9157533905981
7;4;2018;20.9157533905981
7;4;2019;20.9157533905981
7;4;2020;20.9157533905981
7;4;2021;20.9157533905981
7;6;2015;15.2522190912
7;6;2016;15.2522190912
7;6;2017;15.2522190912
7;6;2018;15.2522190912
7;6;2019;15.2522190912
7;6;2020;15.2522190912
7;6;2021;15.2522190912
7;7;2015;0
7;7;2016;0
7;7;2017;0
7;7;2018;0
7;7;2019;0
7;7;2020;0
7;7;2021;0
8;1;2015;23.5494100458
8;1;2016;23.5494100458
8;1;2017;23.5494100458
8;1;2018;23.5494100458
8;1;2019;23.5494100458
8;1;2020;23.5494100458
8;1;2021;23.5494100458
8;2;2015;20.0928393527
8;2;2016;20.0928393527
8;2;2017;20.0928393527
8;2;2018;20.0928393527
8;2;2019;20.0928393527
8;2;2020;20.0928393527
8;2;2021;20.0928393527
8;4;2015;21.9533012114329
8;4;2016;21.9533012114329
8;4;2017;21.9533012114329
8;4;2018;21.9533012114329
8;4;2019;21.9533012114329
8;4;2020;21.9533012114329
8;4;2021;21.9533012114329
8;6;2015;15.5909001692
8;6;2016;15.5909001692
8;6;2017;15.5909001692
8;6;2018;15.5909001692
8;6;2019;15.5909001692
8;6;2020;15.5909001692
8;6;2021;15.5909001692
8;7;2015;0
8;7;2016;0
8;7;2017;0
8;7;2018;0
8;7;2019;0
8;7;2020;0
8;7;2021;0
9;1;2015;20.7056135428
9;1;2016;20.7056135428
9;1;2017;20.7056135428
9;1;2018;20.7056135428
9;1;2019;20.7056135428
9;1;2020;20.7056135428
9;1;2021;20.7056135428
9;2;2015;21.0248474945491
9;2;2016;21.0248474945491
9;2;2017;21.0248474945491
9;2;2018;21.0248474945491
9;2;2019;21.0248474945491
9;2;2020;21.0248474945491
9;2;2021;21.0248474945491
9;4;2015;19.1123189706371
9;4;2016;19.1123189706371
9;4;2017;19.1123189706371
9;4;2018;19.1123189706371
9;4;2019;19.1123189706371
9;4;2020;19.1123189706371
9;4;2021;19.1123189706371
9;6;2015;13.3823760669
9;6;2016;13.3823760669
9;6;2017;13.3823760669
9;6;2018;13.3823760669
9;6;2019;13.3823760669
9;6;2020;13.3823760669
9;6;2021;13.3823760669
9;7;2015;0
9;7;2016;0
9;7;2017;0
9;7;2018;0
9;7;2019;0
9;7;2020;0
9;7;2021;0
10;1;2015;18.2635656056
10;1;2016;18.2635656056
10;1;2017;18.2635656056
10;1;2018;18.2635656056
10;1;2019;18.2635656056
10;1;2020;18.2635656056
10;1;2021;18.2635656056
10;2;2015;19.7353940733549
10;2;2016;19.7353940733549
10;2;2017;19.7353940733549
10;2;2018;19.7353940733549
10;2;2019;19.7353940733549
10;2;2020;19.7353940733549
10;2;2021;19.7353940733549
10;4;2015;17.3259693275614
10;4;2016;17.3259693275614
10;4;2017;17.3259693275614
10;4;2018;17.3259693275614
10;4;2019;17.3259693275614
10;4;2020;17.3259693275614
10;4;2021;17.3259693275614
10;6;2015;14.2812002218
10;6;2016;14.2812002218
10;6;2017;14.2812002218
10;6;2018;14.2812002218
10;6;2019;14.2812002218
10;6;2020;14.2812002218
10;6;2021;14.2812002218
10;7;2015;0
10;7;2016;0
10;7;2017;0
10;7;2018;0
10;7;2019;0
10;7;2020;0
10;7;2021;0
11;1;2015;19.4858967087
11;1;2016;19.4858967087
11;1;2017;19.4858967087
11;1;2018;19.4858967087
11;1;2019;19.4858967087
11;1;2020;19.4858967087
11;1;2021;19.4858967087
11;2;2015;18.1035236973352
11;2;2016;18.1035236973352
11;2;2017;18.1035236973352
11;2;2018;18.1035236973352
11;2;2019;18.1035236973352
11;2;2020;18.1035236973352
11;2;2021;18.1035236973352
11;4;2015;17.1287129166478
11;4;2016;17.1287129166478
11;4;2017;17.1287129166478
11;4;2018;17.1287129166478
11;4;2019;17.1287129166478
11;4;2020;17.1287129166478
11;4;2021;17.1287129166478
11;6;2015;13.8937617962
11;6;2016;13.8937617962
11;6;2017;13.8937617962
11;6;2018;13.8937617962
11;6;2019;13.8937617962
11;6;2020;13.8937617962
11;6;2021;13.8937617962
11;7;2015;6.7658539924
11;7;2016;6.7658539924
11;7;2017;6.7658539924
11;7;2018;6.7658539924
11;7;2019;6.7658539924
11;7;2020;6.7658539924
11;7;2021;6.7658539924
12;1;2015;16.522962958
12;1;2016;16.522962958
12;1;2017;16.522962958
12;1;2018;16.522962958
12;1;2019;16.522962958
12;1;2020;16.522962958
12;1;2021;16.522962958
12;2;2015;20.44336259756
12;2;2016;20.44336259756
12;2;2017;20.44336259756
12;2;2018;20.44336259756
12;2;2019;20.44336259756
12;2;2020;20.44336259756
12;2;2021;20.44336259756
12;4;2015;17.0747185878536
12;4;2016;17.0747185878536
12;4;2017;17.0747185878536
12;4;2018;17.0747185878536
12;4;2019;17.0747185878536
12;4;2020;17.0747185878536
12;4;2021;17.0747185878536
12;6;2015;12.3499034718
12;6;2016;12.3499034718
12;6;2017;12.3499034718
12;6;2018;12.3499034718
12;6;2019;12.3499034718
12;6;2020;12.3499034718
12;6;2021;12.3499034718
12;7;2015;5.7176688579
12;7;2016;5.7176688579
12;7;2017;5.7176688579
12;7;2018;5.7176688579
12;7;2019;5.7176688579
12;7;2020;5.7176688579
12;7;2021;5.7176688579
13;1;2015;22.2810144243
13;1;2016;22.2810144243
13;1;2017;22.2810144243
13;1;2018;22.2810144243
13;1;2019;22.2810144243
