maakunta;year;peat_type;litter_type;ground;living_tree_litter;litter_source
1;2020;1;non-woody_litter;above;0.950067897526;living
1;2020;2;fine_woody_litter;above;0.237632055098121;living
1;2020;2;fine_woody_litter;below;0.167766875937494;living
1;2020;2;non-woody_litter;above;0.918560651084478;living
1;2020;4;fine_woody_litter;above;0.295578993816869;living
1;2020;4;fine_woody_litter;below;0.162015869259022;living
1;2020;4;non-woody_litter;above;0.887905589843942;living
1;2020;6;fine_woody_litter;above;0.190725912227915;living
1;2020;6;fine_woody_litter;below;0.10296884889285;living
1;2020;6;non-woody_litter;above;0.510258081034;living
1;2020;7;fine_woody_litter;above;0;living
1;2020;7;fine_woody_litter;below;0;living
1;2020;7;non-woody_litter;above;0;living
1;2021;1;fine_woody_litter;above;0.24334200900635;living
1;2021;1;fine_woody_litter;below;0.17363105858412;living
1;2021;1;non-woody_litter;above;0.950067897526;living
1;2021;2;fine_woody_litter;above;0.237632055098121;living
1;2021;2;fine_woody_litter;below;0.167766875937494;living
1;2021;2;non-woody_litter;above;0.918560651084478;living
1;2021;4;fine_woody_litter;above;0.295578993816869;living
1;2021;4;fine_woody_litter;below;0.162015869259022;living
1;2021;4;non-woody_litter;above;0.887905589843942;living
1;2021;6;fine_woody_litter;above;0.190725912227915;living
1;2021;6;fine_woody_litter;below;0.10296884889285;living
1;2021;6;non-woody_litter;above;0.510258081034;living
1;2021;7;fine_woody_litter;above;0;living
1;2021;7;fine_woody_litter;below;0;living
1;2021;7;non-woody_litter;above;0;living
2;2015;1;fine_woody_litter;above;0.25598977571708;living
2;2015;1;fine_woody_litter;below;0.187495532453155;living
2;2015;1;non-woody_litter;above;0.976623001994;living
2;2015;2;fine_woody_litter;above;0.263943269472471;living
2;2015;2;fine_woody_litter;below;0.171839570298333;living
2;2015;2;non-woody_litter;above;0.870509578717852;living
2;2015;4;fine_woody_litter;above;0.237746996103187;living
2;2015;4;fine_woody_litter;below;0.156129427393414;living
2;2015;4;non-woody_litter;above;0.621185325975619;living
2;2015;6;fine_woody_litter;above;0.170747949546155;living
2;2015;6;fine_woody_litter;below;0.10234914265333;living
2;2015;6;non-woody_litter;above;0.4567183983615;living
2;2015;7;fine_woody_litter;above;0.08743047496903;living
2;2015;7;fine_woody_litter;below;0.046294634451415;living
2;2015;7;non-woody_litter;above;0.344850270719;living
2;2016;1;fine_woody_litter;above;0.25598977571708;living
2;2016;1;fine_woody_litter;below;0.187495532453155;living
2;2016;1;non-woody_litter;above;0.976623001994;living
2;2016;2;fine_woody_litter;above;0.263943269472471;living
2;2016;2;fine_woody_litter;below;0.171839570298333;living
2;2016;2;non-woody_litter;above;0.870509578717852;living
2;2016;4;fine_woody_litter;above;0.237746996103187;living
2;2016;4;fine_woody_litter;below;0.156129427393414;living
2;2016;4;non-woody_litter;above;0.621185325975619;living
2;2016;6;fine_woody_litter;above;0.170747949546155;living
2;2016;6;fine_woody_litter;below;0.10234914265333;living
2;2016;6;non-woody_litter;above;0.4567183983615;living
2;2016;7;fine_woody_litter;above;0.08743047496903;living
2;2016;7;fine_woody_litter;below;0.046294634451415;living
2;2016;7;non-woody_litter;above;0.344850270719;living
2;2017;1;fine_woody_litter;above;0.25598977571708;living
2;2017;1;fine_woody_litter;below;0.187495532453155;living
2;2017;1;non-woody_litter;above;0.976623001994;living
2;2017;2;fine_woody_litter;above;0.263943269472471;living
2;2017;2;fine_woody_litter;below;0.171839570298333;living
2;2017;2;non-woody_litter;above;0.870509578717852;living
2;2017;4;fine_woody_litter;above;0.237746996103187;living
2;2017;4;fine_woody_litter;below;0.156129427393414;living
2;2017;4;non-woody_litter;above;0.621185325975619;living
2;2017;6;fine_woody_litter;above;0.170747949546155;living
2;2017;6;fine_woody_litter;below;0.10234914265333;living
2;2017;6;non-woody_litter;above;0.4567183983615;living
2;2017;7;fine_woody_litter;above;0.08743047496903;living
2;2017;7;fine_woody_litter;below;0.046294634451415;living
2;2017;7;non-woody_litter;above;0.344850270719;living
2;2018;1;fine_woody_litter;above;0.25598977571708;living
2;2018;1;fine_woody_litter;below;0.187495532453155;living
2;2018;1;non-woody_litter;above;0.976623001994;living
2;2018;2;fine_woody_litter;above;0.263943269472471;living
2;2018;2;fine_woody_litter;below;0.171839570298333;living
2;2018;2;non-woody_litter;above;0.870509578717852;living
2;2018;4;fine_woody_litter;above;0.237746996103187;living
2;2018;4;fine_woody_litter;below;0.156129427393414;living
2;2018;4;non-woody_litter;above;0.621185325975619;living
2;2018;6;fine_woody_litter;above;0.170747949546155;living
2;2018;6;fine_woody_litter;below;0.10234914265333;living
2;2018;6;non-woody_litter;above;0.4567183983615;living
2;2018;7;fine_woody_litter;above;0.08743047496903;living
2;2018;7;fine_woody_litter;below;0.046294634451415;living
2;2018;7;non-woody_litter;above;0.344850270719;living
2;2019;1;fine_woody_litter;above;0.25598977571708;living
2;2019;1;fine_woody_litter;below;0.187495532453155;living
2;2019;1;non-woody_litter;above;0.976623001994;living
2;2019;2;fine_woody_litter;above;0.263943269472471;living
2;2019;2;fine_woody_litter;below;0.171839570298333;living
2;2019;2;non-woody_litter;above;0.870509578717852;living
2;2019;4;fine_woody_litter;above;0.237746996103187;living
2;2019;4;fine_woody_litter;below;0.156129427393414;living
2;2019;4;non-woody_litter;above;0.621185325975619;living
2;2019;6;fine_woody_litter;above;0.170747949546155;living
2;2019;6;fine_woody_litter;below;0.10234914265333;living
2;2019;6;non-woody_litter;above;0.4567183983615;living
2;2019;7;fine_woody_litter;above;0.08743047496903;living
2;2019;7;fine_woody_litter;below;0.046294634451415;living
2;2019;7;non-woody_litter;above;0.344850270719;living
2;2020;1;fine_woody_litter;above;0.25598977571708;living
2;2020;1;fine_woody_litter;below;0.187495532453155;living
2;2020;1;non-woody_litter;above;0.976623001994;living
2;2020;2;fine_woody_litter;above;0.263943269472471;living
2;2020;2;fine_woody_litter;below;0.171839570298333;living
2;2020;2;non-woody_litter;above;0.870509578717852;living
2;2020;4;fine_woody_litter;above;0.237746996103187;living
2;2020;4;fine_woody_litter;below;0.156129427393414;living
2;2020;4;non-woody_litter;above;0.621185325975619;living
2;2020;6;fine_woody_litter;above;0.170747949546155;living
2;2020;6;fine_woody_litter;below;0.10234914265333;living
2;2020;6;non-woody_litter;above;0.4567183983615;living
2;2020;7;fine_woody_litter;above;0.08743047496903;living
2;2020;7;fine_woody_litter;below;0.046294634451415;living
2;2020;7;non-woody_litter;above;0.344850270719;living
2;2021;1;fine_woody_litter;above;0.25598977571708;living
2;2021;1;fine_woody_litter;below;0.187495532453155;living
2;2021;1;non-woody_litter;above;0.976623001994;living
2;2021;2;fine_woody_litter;above;0.263943269472471;living
2;2021;2;fine_woody_litter;below;0.171839570298333;living
2;2021;2;non-woody_litter;above;0.870509578717852;living
2;2021;4;fine_woody_litter;above;0.237746996103187;living
2;2021;4;fine_woody_litter;below;0.156129427393414;living
2;2021;4;non-woody_litter;above;0.621185325975619;living
2;2021;6;fine_woody_litter;above;0.170747949546155;living
2;2021;6;fine_woody_litter;below;0.10234914265333;living
2;2021;6;non-woody_litter;above;0.4567183983615;living
2;2021;7;fine_woody_litter;above;0.08743047496903;living
2;2021;7;fine_woody_litter;below;0.046294634451415;living
2;2021;7;non-woody_litter;above;0.344850270719;living
4;2015;1;fine_woody_litter;above;0.20700462690128;living
4;2015;1;fine_woody_litter;below;0.14904247964984;living
4;2015;1;non-woody_litter;above;0.8175110788755;living
4;2015;2;fine_woody_litter;above;0.215539423186546;living
4;2015;2;fine_woody_litter;below;0.146739261338889;living
4;2015;2;non-woody_litter;above;0.729432769758859;living
4;2015;4;fine_woody_litter;above;0.191564277945715;living
4;2015;4;fine_woody_litter;below;0.110689357862632;living
4;2015;4;non-woody_litter;above;0.618679098571833;living
4;2015;6;fine_woody_litter;above;0.15910088861228;living
4;2015;6;fine_woody_litter;below;0.08847311169529;living
4;2015;6;non-woody_litter;above;0.454274847788;living
4;2015;7;fine_woody_litter;above;0.12977625522835;living
4;2015;7;fine_woody_litter;below;0.06402892886327;living
4;2015;7;non-woody_litter;above;0.5806683666845;living
4;2016;1;fine_woody_litter;above;0.20700462690128;living
4;2016;1;fine_woody_litter;below;0.14904247964984;living
4;2016;1;non-woody_litter;above;0.8175110788755;living
4;2016;2;fine_woody_litter;above;0.215539423186546;living
4;2016;2;fine_woody_litter;below;0.146739261338889;living
4;2016;2;non-woody_litter;above;0.729432769758859;living
4;2016;4;fine_woody_litter;above;0.191564277945715;living
4;2016;4;fine_woody_litter;below;0.110689357862632;living
4;2016;4;non-woody_litter;above;0.618679098571833;living
4;2016;6;fine_woody_litter;above;0.15910088861228;living
4;2016;6;fine_woody_litter;below;0.08847311169529;living
4;2016;6;non-woody_litter;above;0.454274847788;living
4;2016;7;fine_woody_litter;above;0.12977625522835;living
